area,zone,ward,latitude,longitude,area_type
Gandhipuram,Central,72,11.0168,76.9689,Commercial Hub
RS Puram,West,23,11.0116,76.9456,Commercial/Residential
Saravanampatti,North,2,11.0784,76.9984,IT Corridor
Peelamedu,East,37,11.0267,77.0108,Educational Hub
Town Hall,Central,80,10.9964,76.9603,Heritage Commercial
Ukkadam,South,86,10.9878,76.9628,Transport Hub
Singanallur,East,57,11.0022,77.0236,Residential/Industrial
Saibaba Colony,West,11,11.0283,76.9472,Residential
Ramanathapuram,South,75,10.9988,76.9882,Mixed Residential
Hopes College,East,39,11.0367,77.0094,Commercial/Educational
